title,url,author,ingredients,instructions
Broiled Salmon with Scallions and Sesame,https://www.bonappetit.com/recipe/broiled-salmon-with-scallions-and-sesame,Bon Appétit,"Ingredients3  Servings2garlic cloves, thinly sliced3tablespoons fresh lime juice2tablespoons soy sauce2teaspoons honey1tablespoon plus 2 teaspoons vegetable oil½teaspoon sesame seeds, plus more for serving38-ounce skin-on center-cut salmon filletsKosher salt1bunch scallions1Fresno chile, thinly sliced","PreparationStep 1Whisk garlic, lime juice, soy sauce, honey, 1 Tbsp. oil, and ½ tsp. sesame seeds in a small bowl. Season salmon fillets with salt and place in a resealable plastic bag; add half of marinade. Seal bag, pressing out air, and let salmon sit 30 minutes. Reserve remaining marinade.Step 2Preheat broiler. Toss scallions with remaining 2 tsp. oil on sizzle platter; broil until lightly charred, about 3 minutes. Remove salmon from marinade and set on top of scallions. Spoon some reserved marinade over and broil until salmon is charred around edges, about 6 minutes (watch closely to keep from burning). Spoon more marinade over; top with chile. Broil until salmon is charred and medium-rare at thickest part, about 2 minutes. Sprinkle with more sesame seeds."
Burst Cherry Tomato Pasta,https://www.bonappetit.com/recipe/burst-cherry-tomato-pasta,Molly Baz,"Ingredients4 servings½cup extra-virgin olive oil, plus more for drizzling6garlic cloves, smashed4pints cherry tomatoes (about 2½ lb.)¾tsp. crushed red pepper flakes2large sprigs basil, plus 1 cup basil leaves, torn if large1½tsp. kosher salt, plus morePinch of sugar (optional)12oz. campanelle or other tube pasta1oz. finely grated Parmesan (about ⅓ cup), plus more for serving","PreparationStep 1Heat ½ cup oil in a large heavy pot over low. Add garlic and cook, stirring, until softened and fragrant but not browned, about 2 minutes. Increase heat to medium and add tomatoes, red pepper flakes, basil sprigs, and 1½ tsp. salt. Cook, stirring to coat, until tomatoes begin to burst, about 4 minutes. Smash some but not all of the tomatoes with the back of a wooden spoon to help create a sauce, then continue to cook, stirring occasionally, until a chunky, thickened sauce comes together and about half the tomatoes are completely broken down and half remain in tact, 10–12 minutes. Taste and adjust seasoning, adding sugar if sauce seems tart. Pluck out and discard basil sprigs.Photo by Chelsie Craig, Food Styling by Anna BillingskogStep 2Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain pasta, add to pot with sauce, and cook over medium heat, stirring, until coated, 1–2 minutes. Remove from heat and stir in 1 oz. Parmesan.Step 3Divide pasta among bowls. Top with more Parmesan and 1 cup basil leaves. Drizzle with oil."
Cacio e Pepe Rösti,https://www.bonappetit.com/recipe/cacio-e-pepe-rosti,Christina Chaey,"Ingredients6 - 8 Servings3lb. russet potatoes (about 12 medium), peeled1½tsp. Diamond Crystal or 1 tsp. Morton kosher salt, plus more2oz. Parmesan, finely grated, plus more for serving2tsp. freshly ground black pepper, plus more4Tbsp. extra-virgin olive oil, divided","PreparationStep 1Place potatoes in a large pot and pour in water to cover by 2""; season generously with salt. Bring to a boil over medium-high heat, then reduce heat and simmer gently until potatoes are tender on the outside but still very firm in the center, 10–12 minutes. Drain potatoes; transfer to a rimmed baking sheet and chill until cool, at least 1 hour. (Fully cooling the potatoes prevents them from getting gummy.)Step 2Grate potatoes on the large holes of a box grater or with a food processor fitted with the grater attachment. (Alternatively, you can use a mandoline fitted with a julienne slicer to create ₁⁄₁₆"" matchsticks.) Transfer grated potatoes to a large bowl and toss with 2 oz. grated Parmesan, 1½ tsp. Diamond Crystal or 1 tsp. Morton kosher salt, and 2 tsp. pepper.Step 3Heat 3 Tbsp. oil in a medium nonstick or cast-iron skillet over medium. Add potato mixture and, using a heatproof rubber spatula, spread out in an even layer, pressing down on to ensure potatoes make good contact with pan. Cook, occasionally pressing down on potatoes and running spatula around edges and bottom of pan to prevent sticking, until underside is evenly golden brown and crisp, 7–9 minutes. Remove from heat.Step 4Set a large plate upside down over pan. In one swift and confident motion, flip pan and plate to invert rösti onto plate. Set pan back over medium heat, add remaining 1 Tbsp. oil, and carefully slide in rösti, crispy side up. Using spatula, tuck edges into pan to create a neat disk. Cook until second side is golden brown, 5–7 minutes. Run spatula around edges of rösti and give pan a shake until you can feel rösti freely move around in pan. Carefully slide rösti onto a platter and top with more Parmesan and pepper. Slice into wedges to serve.Do ahead: Potatoes can be boiled 1 day ahead. Let cool; cover and chill. Rösti (without additional cheese) can be made 3 hours ahead; store uncovered at room temperature. Reheat in a 300° oven 10 minutes before serving."
California Waldorf Salad Gelatin Mold,https://www.bonappetit.com/recipe/california-waldorf-salad-gelatin-mold,Bon Appétit,Ingredients10 to 12 ServingsFirst Layer1envelope unflavored gelatin3tablespoons fresh lemon juice¼cup sugar½teaspoon kosher salt½cup prepared onion dipSecond Layer2envelopes unflavored gelatin6tablespoons fresh lemon juice½cup sugar1teaspoon kosher salt1cup chopped apples½cup chopped walnuts½cup chopped celerySpecial EquipmentA 7-cup gelatin mold,"PreparationFirst LayerStep 1In small saucepan, sprinkle gelatin over ½ cup water; stir over low heat until dissolved, about 3 minutes. Stir in lemon juice, sugar, salt, dip, and ½ cup water; pour into 7-cup mold and chill until set.Second LayerStep 2In large saucepan, sprinkle gelatin over 1 cup water; stir over low heat until dissolved. Stir in lemon juice, sugar, salt, and 2 cups water; chill until mixture is consistency of unbeaten egg whites. Fold in apples, walnuts, and celery; pour onto first layer and chill until firm."
Cast-Iron Pizza with Fennel and Sausage,https://www.bonappetit.com/recipe/cast-iron-pizza-with-fennel-and-sausage,Claire Saffitz,"Ingredients2 servings 12oz. store-bought pizza dough, room temperature5Tbsp. extra-virgin olive oil, divided8oz. sweet Italian sausage, casings removedKosher salt⅓cup prepared marinara¾cup coarsely grated low-moisture mozzarella½small fennel bulb, very thinly sliced3garlic cloves, very thinly slicedCrushed red pepper flakes and torn basil leaves (for serving)","PreparationStep 1Place a rack in top-most position of oven; preheat to 475°. Place dough on a work surface; drizzle with 1 Tbsp. oil, turning to coat. Stretch out to a 10"" round and cover loosely with plastic wrap.Step 2Heat 1 Tbsp. oil in a large cast-iron skillet over medium. Cook sausage, breaking up into small pieces with a wooden spoon, until browned in spots and cooked though, 5–8 minutes. Transfer sausage to a small bowl.Step 3Remove skillet from heat and carefully lay dough inside (use spoon to help you extend dough all the way to the edges). Season with salt, then spread marinara over entire surface of dough. Top with mozzarella, then fennel, garlic, and cooked sausage. Drizzle with another 2 Tbsp. oil. Peek underneath the crust—the bottom should be golden brown and crisp from residual heat in the skillet. If it’s not, set over medium-low and cook until crust is golden brown, about 3 minutes.Step 4Transfer skillet to oven and bake pizza on top rack until crust is golden brown around the edges and cheese is browned in spots and bubbling all over, 10–14 minutes. Let cool 5 minutes, then top with red pepper flakes and basil. Sprinkle with more salt and drizzle with remaining 1 Tbsp. oil."
Chicken Under a Skillet with Lemon Pan Sauce,https://www.bonappetit.com/recipe/chicken-under-a-skillet-with-lemon-pan-sauce,Claire Saffitz,"Ingredients4 servings 13½–4-lb. chicken, patted dryKosher salt, freshly ground pepper2Tbsp. extra-virgin olive oil1medium shallot, finely chopped½tsp. crushed red pepper flakes¼cup dry white wine¼cup fresh lemon juice2Tbsp. unsalted butter, cut into pieces¼cup chopped parsley","PreparationStep 1Place chicken on a work surface and use kitchen shears to snip off wing tips (they get in the way of the breasts during cooking; save them for stock). Turn chicken breast side down and use shears to cut along both sides of the backbone to remove it (save for stock along with those wing tips).Photo by Laura MurrayStep 2Open up chicken and use the tip of a knife to cut a shallow line along either side of the rectangular bone and strip of cartilage in the middle of breast. Turn chicken skin side up and press down on center of breast to flatten chicken—you should hear the breastbone crack.Photo by Laura MurrayStep 3Season generously on both sides with salt and pepper and let sit at room temperature at least 20 minutes and up to 1 hour.Step 4Preheat oven to 350°. Heat a dry large cast-iron skillet over medium. Pat chicken dry with paper towels and season all over again with a light sprinkling of salt. Add oil to skillet, then chicken, arranging skin side down. Cover the bottom of another smaller cast-iron skillet with foil and place over chicken to weigh it down.Photo by Alex Lau, styling by Claire SaffitzStep 5Cook, peeking under foil and lifting chicken a bit to check, until skin is deep golden brown and crisp all over, 15–18 minutes. Remove top skillet and turn chicken skin side up. Transfer skillet to oven and roast chicken just until cooked through (an instant-read thermometer inserted into the thickest part of breast should register 160°), 15–20 minutes. Carefully remove skillet from oven and place chicken skin side up (to preserve that crispness) on a plate to rest.Photo by Alex Lau, styling by Claire SaffitzStep 6Set skillet over medium-low heat and add shallot and red pepper flakes. Cook, stirring often, until shallot is softened and golden, about 3 minutes. Add wine and lemon juice and swirl skillet to emulsify. Reduce heat to low and add butter; cook, swirling to combine, until melted. Pour in juices that have pooled under chicken on plate; mix in parsley. Return chicken to skillet to serve."
Air Fryer Chile-Honey-Glazed Fries,https://www.bonappetit.com/recipe/chile-honey-glazed-fries,Shilpa Uskokovic,"Ingredients4 servings16oz. frozen crinkle-cut or waffle fries or tater tots1Tbsp. Diamond Crystal or 1¾ tsp. kosher salt, plus more2scallions1Tbsp. cornstarch½cup honey¼cup Sriracha4tsp. soy sauce1Tbsp. ketchup2Tbsp. vegetable oil1small red bell pepper, cut into 1"" pieces1small white onion, cut into 1"" pieces2garlic cloves, coarsely chopped2tsp. toasted sesame seeds","PreparationStep 1Cook fries in an oven or air fryer according to package directions; season lightly with salt and keep warm.Step 2Meanwhile, separate dark green tops from scallions. Thinly slice and set aside. Thinly slice remaining white and pale green parts and set aside separately.Step 3Stir cornstarch in ¼ cup water in a small bowl to dissolve. Add honey, Sriracha, soy sauce, ketchup, and 1 Tbsp. Diamond Crystal or 1¾ tsp. kosher salt and stir to combine; set sauce aside.Step 4Heat oil in a large cast-iron or nonstick skillet over high. Cook bell pepper, onion, garlic, and reserved scallion white and pale green parts, stirring often, until vegetables are slightly blistered and just starting to soften, about 3 minutes.Step 5Stir reserved sauce well (in case any cornstarch has settled at the bottom) and pour over vegetables. Cook, tossing, until sauce is thick and glossy, about 1 minute. Remove from heat, add warm fries, and stir until well coated in sauce.Step 6Transfer glazed fries to a platter or shallow bowl. Top with sesame seeds and reserved scallion greens."
Dal Palak,https://www.bonappetit.com/recipe/dal-palak,Chitra Agrawal,"Ingredients4 Servings1cup masoor dal (red lentils)¼tsp. ground turmeric1lime, halved, divided1½tsp. Diamond Crystal or ¾ tsp. Morton kosher salt, divided, plus more2Tbsp. ghee or unsalted butter½tsp. black mustard seeds½tsp. cumin seeds½tsp. fennel seed1small dried red chile, broken in half1small onion, coarsely chopped2garlic cloves, finely chopped1tsp. finely grated peeled ginger3cups spinach, coarsely choppedSteamed rice, cilantro leaves, and lime wedges (for serving)","PreparationStep 1Rinse dal in a fine-mesh sieve. Transfer to a medium saucepan and pour in 3 cups water. Bring to a boil over medium-high heat. (Watch carefully as the water can boil over quickly.) Cook, skimming foam from surface, until mixture stops foaming, about 3 minutes. Stir in turmeric. Reduce heat to medium-low, partially cover, and simmer until tender, 25–30 minutes. Remove from heat and squeeze in juice from a lime half, then stir in 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt.Step 2Meanwhile, melt ghee in a high-sided skillet over medium-high heat. Add mustard, cumin, and fennel seeds and cook (a matter of seconds) until mustard seeds start to pop and oil around other seeds is sizzling. Reduce heat to medium. Add chile and stir to coat. Add onion and cook, stirring occasionally to coat, until translucent and softened, about 5 minutes. Add garlic and ginger and cook, stirring, until fragrant, about 30 seconds. Add spinach and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt and cook, stirring often, until wilted but still bright green, about 1 minute. Remove from heat and squeeze in juice from remaining lime half.Step 3Add spinach mixture to dal; season with salt. Divide rice and dal among bowls. Top with cilantro; serve with lime wedges."
Garlic Knots,https://www.bonappetit.com/recipe/garlic-knots,Amelia Rampe,"IngredientsMakes about 241pound prepared pizza dough, room temperatureAll-purpose flour (for dusting)Garlic powder (for dusting)2tablespoons olive oil, plus more for brushing¼cup (½ stick) unsalted butter5garlic cloves, finely chopped2tablespoons finely chopped parsleyKosher salt","PreparationStep 1Divide dough into 4 pieces, cover with plastic wrap, and let rise 1–1½ hours. Line 2 rimmed baking sheets with parchment paper.Step 2Working with 1 piece at a time and keeping remaining pieces covered, roll dough on a lightly floured surface to a 6x4"" rectangle. Cut dough into six 4x1"" strips. Sprinkle dough all over with garlic powder, then flour. Roll 1 length of dough on work surface with your hands to round out edges (it will look like a worm). Tie into a single knot; the ends should just pass through the center without more than a 1"" overhang (this allows the dough to rise in a nice compact shape, and keeping the ends short prevents it from looking like a bow). Transfer to prepared sheet. Repeat with remaining dough. Brush knots with oil, lightly cover with plastic, and let rise in a warm spot until puffed, 1–1½ hours.Step 3Preheat oven to 400°. Bake knots until golden brown, 13–15 minutes.Step 4Meanwhile, melt butter in a small saucepan over medium heat. Add garlic and cook, stirring, until just softened, about 2 minutes. Remove from heat and stir in parsley and remaining 2 Tbsp. oil; generously season with salt. Transfer butter mixture to a large bowl, add warm knots, and gently toss until coated."
Green Beans and Mushrooms With Crispy Shallots,https://www.bonappetit.com/recipe/green-beans-and-mushrooms-with-crispy-shallots,Kendra Vaculin,"Ingredients8 Servings1½lb. green beans, trimmed1½tsp. Diamond Crystal or 1 tsp. Morton kosher salt, plus more⅓cup vegetable oil3large shallots, thinly sliced1lb. mushrooms (such as oyster, shiitake, or maitake), tough stems removed, torn into large pieces4Tbsp. unsalted butter2Tbsp. sherry vinegar or red wine vinegarFreshly ground black pepper2oz. Parmesan, finely grated","PreparationStep 1Cook green beans in a medium pot of boiling salted water until bright green, about 2 minutes. Drain and rinse green beans under cold water to stop them from cooking more. Set aside.Step 2Heat oil in a large skillet over medium-high. Cook shallots, stirring occasionally, until browned, frizzled, and crisp, 6–8 minutes. Using a slotted spoon, transfer to paper towels to drain, and immediately season with salt. Set aside for serving.Step 3Add mushrooms to same skillet and toss to coat with oil. Cook, stirring occasionally, until softened, about 4 minutes. Season with salt and cook, stirring occasionally, until starting to brown, about 4 minutes. Reduce heat to medium and add butter, reserved green beans, and 1½ tsp. Diamond Crystal or 1 tsp. Morton kosher salt. Cook, tossing often and spooning foaming butter over vegetables, until butter darkens slightly and smells nutty, about 5 minutes. Add vinegar and season generously with pepper. Cook, stirring often, 1 minute.Step 4Transfer green beans and mushrooms to a platter and spoon any sauce in pan over. Top with Parmesan and reserved crispy shallots.Do ahead: Green beans can be blanched 1 day ahead. Pat dry; transfer to an airtight container or resealable bag and chill."
